Country_Name,Country_Code,Time,Time_Code,High-technology_exports_%,High-technology_exports_US$,Non-Resident_Patent_applications,Resident_Patent_applications,R&D_expenditure_%_GDP,Researchers_in_R&D,Scientifc_and_tech_articles,Technicians_in_R&D_per_mil_people,Direct_NR_Trademark_app.,direct_R_Trademark_app,Total_Trademark_app
Australia,AUS,1967,YR1967,..,..,11675,4058,..,..,..,..,..,..,7537
Australia,AUS,1968,YR1968,..,..,12511,4201,..,..,..,..,3991,4310,8301
Australia,AUS,1969,YR1969,..,..,13376,4070,..,..,..,..,..,..,9246
Australia,AUS,1970,YR1970,..,..,12459,3984,..,..,..,..,..,..,..
Australia,AUS,1971,YR1971,..,..,12016,4391,..,..,..,..,..,..,8866
Australia,AUS,1972,YR1972,..,..,11559,4606,..,..,..,..,..,..,9204
Australia,AUS,1973,YR1973,..,..,11809,4651,..,..,..,..,4763,5263,10026
Australia,AUS,1974,YR1974,..,..,11650,4300,..,..,..,..,4731,4478,9209
Australia,AUS,1975,YR1975,..,..,9771,4311,..,..,..,..,3916,5130,9046
Australia,AUS,1976,YR1976,..,..,9797,4320,..,..,..,..,4651,5544,10195
Australia,AUS,1977,YR1977,..,..,9882,4364,..,..,..,..,4620,6268,10888
Australia,AUS,1978,YR1978,..,..,9573,4558,..,..,..,..,4525,6476,11001
Australia,AUS,1979,YR1979,..,..,9896,4744,..,..,..,..,6209,9918,16127
Australia,AUS,1980,YR1980,..,..,9354,6582,..,..,..,..,5570,7997,13567
Australia,AUS,1981,YR1981,..,..,9807,6341,..,..,8138,..,6147,8782,14929
Australia,AUS,1982,YR1982,..,..,9572,6603,..,..,..,..,6056,9681,15737
Australia,AUS,1983,YR1983,..,..,9529,6930,..,..,..,..,5782,8036,13818
Australia,AUS,1984,YR1984,..,..,10212,7170,..,..,..,..,6164,9251,15415
Australia,AUS,1985,YR1985,..,..,11675,..,..,..,8247,..,7062,11397,18459
Australia,AUS,1986,YR1986,..,..,12511,..,..,..,10121,..,6830,12364,19194
Australia,AUS,1987,YR1987,..,..,13376,..,..,..,9831,..,7341,13809,21150
Australia,AUS,1988,YR1988,7.074119703,414725495,12459,..,..,..,9896,..,7185,15071,22256
Australia,AUS,1989,YR1989,7.301448572,519795441,12016,..,..,..,10730,..,9579,14242,23821
Australia,AUS,1990,YR1990,8.069528624,675284627,11559,..,..,..,10664,..,9189,12826,22015
Australia,AUS,1991,YR1991,9.777940932,885009286,11809,..,..,..,10742,..,9186,12624,21810
