Country_Name,Country_Code,Time,Time_Code,Internet_users_per100person,Fixed_broadband_subscriptions,Fixed_broadband_subscriptions_per100people,Fixed_telephone_subscriptions,Fixed_telephone_subscriptions_per100people,ICT_goods_exports_%_total_goods_exports,ICT_goods_imports_%_total_goods_imports,ICT_service_exports_%_of_service_exports,ICT_service_exports_current_US$,Mobile_cellular_subscriptions,Mobile_cellular_subscriptions_per_100_people,Secure_Internet_servers,Secure_Internet_servers_per_1million_people
Australia,AUS,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1970,YR1970,..,..,..,2704000,20.95350863,..,..,..,..,0,0,..,..
Australia,AUS,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,1975,YR1975,..,..,..,3539000,25.47385766,..,..,..,..,0,0,..,..
Australia,AUS,1976,YR1976,..,..,..,3700000,26.3252336,..,..,..,..,0,0,..,..
Australia,AUS,1977,YR1977,..,..,..,3907000,27.4915163,..,..,..,..,0,0,..,..
Australia,AUS,1978,YR1978,..,..,..,4165945,28.99351034,..,..,..,..,0,0,..,..
Australia,AUS,1979,YR1979,..,..,..,4449468,30.61756966,..,..,..,..,0,0,..,..
Australia,AUS,1980,YR1980,..,..,..,4742662,32.24475013,..,..,..,..,0,0,..,..
Australia,AUS,1981,YR1981,..,..,..,5069342,34.0269558,..,..,..,..,0,0,..,..
Australia,AUS,1982,YR1982,..,..,..,5356572,35.47111383,..,..,..,..,0,0,..,..
Australia,AUS,1983,YR1983,..,..,..,5591667,36.50331115,..,..,..,..,0,0,..,..
Australia,AUS,1984,YR1984,..,..,..,5850594,37.62782272,..,..,..,..,0,0,..,..
Australia,AUS,1985,YR1985,..,..,..,6186835,39.17939429,..,..,..,..,0,0,..,..
Australia,AUS,1986,YR1986,..,..,..,6501468,40.51401802,..,..,..,..,0,0,..,..
Australia,AUS,1987,YR1987,..,..,..,6816301,41.77642351,..,..,..,..,4423,0.027108122,..,..
Australia,AUS,1988,YR1988,..,..,..,7091549,42.75095539,..,..,..,..,31622,0.19063123,..,..
Australia,AUS,1989,YR1989,..,..,..,7419982,44.03267137,..,..,..,..,94529,0.560966912,..,..
Australia,AUS,1990,YR1990,0.585094712,..,..,7786889,45.54570196,..,..,..,..,184943,1.081736077,..,..
Australia,AUS,1991,YR1991,1.097203891,..,..,8046029,46.45069691,..,..,..,..,291459,1.682627998,..,..
Australia,AUS,1992,YR1992,1.768764913,..,..,8257000,47.10596943,..,..,12.39318917,1444714386,497000,2.835372025,..,..
Australia,AUS,1993,YR1993,1.974611016,..,..,8540000,48.18143572,..,..,11.12194302,1398503403,690000,3.892879466,..,..
Australia,AUS,1994,YR1994,2.232101254,..,..,8850000,49.38452926,..,..,10.81205658,1578556118,1220000,6.807810813,..,..
Australia,AUS,1995,YR1995,2.759654513,..,..,8900000,49.10552358,..,..,10.04077315,1694433706,2242000,12.37017796,..,..
Australia,AUS,1996,YR1996,3.27524987,..,..,9170000,50.00262555,..,..,11.10961592,2147187295,3990000,21.7568676,..,..
Australia,AUS,1997,YR1997,16.36935838,..,..,9350000,50.36781433,..,..,13.4683516,2616156061,4578000,24.66137476,..,..
Australia,AUS,1998,YR1998,30.81323944,..,..,9540000,50.75939027,..,..,16.3948607,2833863111,4918000,26.16715738,..,..
Australia,AUS,1999,YR1999,40.7837839,..,..,9760000,51.29434662,..,..,16.1825666,3040756544,6315000,33.18891382,..,..
Australia,AUS,2000,YR2000,46.75611561,..,..,10050000,52.18237329,2.852188763,15.06607879,16.26932552,3245627003,8562000,44.45626668,..,..
Australia,AUS,2001,YR2001,52.68926643,122800,0.630155388,10060000,51.62347887,2.686933711,13.07665302,15.40383466,2758646995,11132000,57.12450962,3422,176.2736311
Australia,AUS,2002,YR2002,..,258100,1.309180367,10400000,52.75271531,2.241106881,12.05769618,16.81820113,3263895052,12670000,64.2670099,..,..
Australia,AUS,2003,YR2003,..,516800,2.590070997,10460000,52.4228766,2.236679978,11.80772888,16.74001807,3946954015,14347000,71.9035383,5749,288.9612674
Australia,AUS,2004,YR2004,..,1012000,5.005321616,10370000,51.28970866,1.979845455,12.37588643,16.402905,4555709383,16480000,81.50958522,8224,408.5972356
Australia,AUS,2005,YR2005,63,2016000,9.824209034,10120000,49.31596995,1.679849509,11.41368906,16.10831502,4914207844,18420000,89.76286231,10158,498.068135
Australia,AUS,2006,YR2006,66,3900000,18.69106653,9940000,47.63825674,1.449087265,11.33096799,17.42186474,5768037113,19760000,94.70140374,11986,579.0925649
Australia,AUS,2007,YR2007,69.45,..,..,9760000,45.93746649,1.378674625,10.69887441,18.47164818,7477618518,21260000,100.0646043,16971,814.8322418
Australia,AUS,2008,YR2008,71.67,5315000,24.55521678,9370000,43.28925329,1.11078998,8.91592424,19.19926431,8396568350,22120000,102.1940537,21229,999.049376
Australia,AUS,2009,YR2009,74.25,5221000,23.69181885,10709000,48.59522852,1.070662959,10.26347206,17.73211652,7150807776,22200000,100.7390114,26517,1222.44914
Australia,AUS,2010,YR2010,76,5510000,24.59328685,10625000,47.42353407,0.961811529,10.36545621,17.74367441,8240122887,22500000,100.4263074,39317,1784.560918
Australia,AUS,2011,YR2011,79.48769771,5552000,24.41455206,10573000,46.49406681,0.845926462,9.827800908,18.04836469,9423876177,23789000,104.610551,45301,2027.795494
Australia,AUS,2012,YR2012,79,5735000,24.88018575,10471000,45.42640365,0.875956631,8.888372292,19.38865063,10462314038,24338000,105.585695,39117,1721.073691
Australia,AUS,2013,YR2013,83.45349717,5981000,25.62273287,10350000,44.33962301,0.91618936,8.862007349,19.62793218,10510713535,24940000,106.8434974,28966,1252.998127
Australia,AUS,2014,YR2014,84,6536000,27.65955673,9190000,38.8909618,1.08033523,9.175235694,18.7112214,10149005274,31010000,131.2305468,31679,1350.10586
Australia,AUS,2015,YR2015,84.56051935,6663000,27.85174046,9080000,37.95494572,..,..,19.12866563,9474871688,31770000,132.8005094,34743,1460.945843
Australia,AUS,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1970,YR1970,..,..,..,..,..,..,..,..,..,0,0,..,..
China,CHN,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,1975,YR1975,..,..,..,1692000,0.185207436,..,..,..,..,0,0,..,..
China,CHN,1976,YR1976,..,..,..,1761000,0.189465398,..,..,..,..,0,0,..,..
China,CHN,1977,YR1977,..,..,..,1833000,0.194209903,..,..,..,..,0,0,..,..
China,CHN,1978,YR1978,..,..,..,1925000,0.201104408,..,..,..,..,0,0,..,..
China,CHN,1979,YR1979,..,..,..,2033000,0.209499555,..,..,..,..,0,0,..,..
China,CHN,1980,YR1980,..,..,..,2140700,0.217547347,..,..,..,..,0,0,..,..
China,CHN,1981,YR1981,..,..,..,2220900,0.222518293,..,..,..,..,0,0,..,..
China,CHN,1982,YR1982,..,..,..,2342500,0.231350303,..,..,10.27070064,258000000,0,0,..,..
China,CHN,1983,YR1983,..,..,..,2508000,0.244019216,..,..,6.252521178,155000000,0,0,..,..
