Country_Name,Country_Code,Time,Time_Code,High-technology_exports_%,High-technology_exports_US$,Non-Resident_Patent_applications,Resident_Patent_applications,R&D_expenditure_%_GDP,Researchers_in_R&D,Scientifc_and_tech_articles,Technicians_in_R&D_per_mil_people,Direct_NR_Trademark_app.,direct_R_Trademark_app,Total_Trademark_app
Belgium,BEL,1967,YR1967,..,..,15152,1607,..,..,..,..,1584,1736,3320
Belgium,BEL,1968,YR1968,..,..,16068,1466,..,..,..,..,1775,1707,3482
Belgium,BEL,1969,YR1969,..,..,16158,1456,..,..,..,..,1687,1597,3284
Belgium,BEL,1970,YR1970,..,..,15848,1339,..,..,..,..,3474,2849,6323
Belgium,BEL,1971,YR1971,..,..,15099,1359,..,..,..,..,..,..,..
Belgium,BEL,1972,YR1972,..,..,14620,1342,..,..,..,..,..,..,8091
Belgium,BEL,1973,YR1973,..,..,14481,1242,..,..,..,..,..,..,7663
Belgium,BEL,1974,YR1974,..,..,13619,1109,..,..,..,..,2826,4559,7385
Belgium,BEL,1975,YR1975,..,..,12164,1060,..,..,..,..,2684,4342,7026
Belgium,BEL,1976,YR1976,..,..,11753,1038,..,..,..,..,2608,3749,6357
Belgium,BEL,1977,YR1977,..,..,11453,1073,..,..,..,..,2863,4321,7184
Belgium,BEL,1978,YR1978,..,..,9683,1000,..,..,..,..,2924,4355,7279
Belgium,BEL,1979,YR1979,..,..,6864,853,..,..,..,..,3062,4894,7956
Belgium,BEL,1980,YR1980,..,..,5104,865,..,..,..,..,3099,4949,8048
Belgium,BEL,1981,YR1981,..,..,3918,806,..,..,3309,..,3266,5390,8656
Belgium,BEL,1982,YR1982,..,..,2944,914,..,..,..,..,3316,5973,9289
Belgium,BEL,1983,YR1983,..,..,2261,805,..,..,..,..,3715,6450,10165
Belgium,BEL,1984,YR1984,..,..,1966,869,..,..,..,..,3675,7057,10732
Belgium,BEL,1985,YR1985,..,..,1476,771,..,..,3424,..,3779,7723,11502
Belgium,BEL,1986,YR1986,..,..,1334,794,..,..,3658,..,3893,8066,11959
Belgium,BEL,1987,YR1987,..,..,889,548,..,..,3588,..,6312,18639,24951
Belgium,BEL,1988,YR1988,..,..,776,636,..,..,3586,..,5237,12348,17585
Belgium,BEL,1989,YR1989,..,..,663,681,..,..,3905,..,5814,13292,19106
Belgium,BEL,1990,YR1990,..,..,613,643,..,..,4103,..,6581,14463,21044
Belgium,BEL,1991,YR1991,..,..,574,625,..,..,4164,..,5475,12456,17931
Belgium,BEL,1992,YR1992,..,..,499,675,..,..,4431,..,5650,13319,18969
Belgium,BEL,1993,YR1993,..,..,679,809,..,..,4512,..,5571,13890,19461
Belgium,BEL,1994,YR1994,..,..,446,744,..,..,4949,..,6321,15867,22188
Belgium,BEL,1995,YR1995,..,..,355,732,..,..,5171.6,..,6239,18626,24865
Belgium,BEL,1996,YR1996,..,..,310,776,1.729629993,2467.310547,5554.4,940.9802246,15575,20437,36012
Belgium,BEL,1997,YR1997,..,..,269,792,1.794759989,2574.351563,5531.8,973.3344116,14221,20474,34695
Belgium,BEL,1998,YR1998,..,..,249,690,1.823619962,2700.632813,5687.7,1006.903564,13706,20908,34614
Belgium,BEL,1999,YR1999,9.184539201,13477829593,249,591,1.890679955,2904.209717,5712.5,1063.768188,13500,22953,36453
Belgium,BEL,2000,YR2000,10.73111062,15704395243,243,577,1.922359943,2974.143555,9091.6,1405.093872,13769,22953,36722
Belgium,BEL,2001,YR2001,10.91552472,16346161208,264,571,2.021680117,3126.318359,9353.4,1458.350952,12544,21382,33926
Belgium,BEL,2002,YR2002,8.878819382,15375807398,147,601,1.890730023,2958.922607,9753.9,1481.756348,10745,21011,31756
Belgium,BEL,2003,YR2003,8.941254603,18197887754,188,519,1.831840038,2965.338867,10238.6,1466.817261,10011,21736,31747
Belgium,BEL,2004,YR2004,8.560834832,20958529240,122,514,1.808979988,3087.914551,11222.3,1403.115845,9490,20831,30321
Belgium,BEL,2005,YR2005,8.860730563,23385203121,105,517,1.782310009,3138.400391,12557,1424.673706,12027,26573,38600
Belgium,BEL,2006,YR2006,8.403976069,23738808555,161,490,1.814260006,3280.551758,12824.3,1347.365234,9970,24005,33975
Belgium,BEL,2007,YR2007,7.515542829,25185339614,163,454,1.844120026,3392.715576,13507,1383.936646,7680,22944,30624
Belgium,BEL,2008,YR2008,7.983861849,28302042123,133,575,1.924129963,3411.626953,14137.6,1461.534546,7059,21838,28897
Belgium,BEL,2009,YR2009,10.42611562,29552842926,148,669,1.98537004,3521.655273,14826.3,1472.611694,5483,20083,25566
Belgium,BEL,2010,YR2010,10.47916271,31948749412,140,620,2.050800085,3735.823242,14942,1317.535645,4954,20845,25799
