Country_Name,Country_Code,Time,Time_Code,Internet_users_per100person,Fixed_broadband_subscriptions,Fixed_broadband_subscriptions_per100people,Fixed_telephone_subscriptions,Fixed_telephone_subscriptions_per100people,ICT_goods_exports_%_total_goods_exports,ICT_goods_imports_%_total_goods_imports,ICT_service_exports_%_of_service_exports,ICT_service_exports_current_US$,Mobile_cellular_subscriptions,Mobile_cellular_subscriptions_per_100_people,Secure_Internet_servers,Secure_Internet_servers_per_1million_people
Belgium,BEL,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1970,YR1970,..,..,..,1343541,13.90207485,..,..,..,..,0,0,..,..
Belgium,BEL,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1975,YR1975,..,..,..,1849960,18.93703413,..,..,..,..,0,0,..,..
Belgium,BEL,1976,YR1976,..,..,..,1941000,19.83126363,..,..,..,..,0,0,..,..
Belgium,BEL,1977,YR1977,..,..,..,2050000,20.90368144,..,..,..,..,0,0,..,..
Belgium,BEL,1978,YR1978,..,..,..,2178000,22.16618143,..,..,..,..,0,0,..,..
Belgium,BEL,1979,YR1979,..,..,..,2317000,23.54087949,..,..,..,..,0,0,..,..
Belgium,BEL,1980,YR1980,..,..,..,2441993,24.77735072,..,..,..,..,0,0,..,..
Belgium,BEL,1981,YR1981,..,..,..,2587107,26.22374794,..,..,..,..,0,0,..,..
Belgium,BEL,1982,YR1982,..,..,..,2722107,27.57203722,..,..,..,..,0,0,..,..
Belgium,BEL,1983,YR1983,..,..,..,2818084,28.52705576,..,..,..,..,0,0,..,..
Belgium,BEL,1984,YR1984,..,..,..,2924966,29.58968094,..,..,..,..,0,0,..,..
Belgium,BEL,1985,YR1985,..,..,..,3032418,30.65061208,..,..,..,..,0,0,..,..
Belgium,BEL,1986,YR1986,..,..,..,3227160,32.5847558,..,..,..,..,3798,0.038348549,..,..
Belgium,BEL,1987,YR1987,..,..,..,3367192,33.95626638,..,..,..,..,7223,0.072839954,..,..
Belgium,BEL,1988,YR1988,..,..,..,3525140,35.49320455,..,..,..,..,19154,0.192853855,..,..
Belgium,BEL,1989,YR1989,..,..,..,3711641,37.29447995,..,..,..,..,30791,0.309387231,..,..
Belgium,BEL,1990,YR1990,0.00100674,..,..,3912629,39.21161054,..,..,..,..,42880,0.429735061,..,..
Belgium,BEL,1991,YR1991,0.020072645,..,..,4096071,40.91540437,..,..,..,..,51420,0.513631256,..,..
Belgium,BEL,1992,YR1992,0.100041027,..,..,4264342,42.43151278,..,..,..,..,61460,0.611545879,..,..
Belgium,BEL,1993,YR1993,0.199446059,..,..,4395695,43.55986696,..,..,..,..,67771,0.671587939,..,..
Belgium,BEL,1994,YR1994,0.69599469,..,..,4543468,44.85326064,..,..,..,..,128071,1.264320986,..,..
Belgium,BEL,1995,YR1995,0.99166299,..,..,4682086,46.07484377,..,..,..,..,235258,2.315095365,..,..
Belgium,BEL,1996,YR1996,2.968411647,..,..,4623685,45.38913082,..,..,..,..,478172,4.694050625,..,..
Belgium,BEL,1997,YR1997,4.93808091,..,..,4768235,46.72005699,..,..,..,..,974494,9.548274196,..,..
Belgium,BEL,1998,YR1998,7.886622701,10924,0.106858174,4856502,47.50612742,..,..,..,..,1756287,17.1799361,..,..
