Country_Name,Country_Code,Time,Time_Code,Air_transport_freight_million_ton,Air_Passengers_carried,Air_Carrier_departures_worldwide,customs_procedure_burden_1=inefficient_7=efficient,Container_port_traffic_TEU_units,Liner_shipping_connectivity_index,Pump_price_diesel_fuel_US$_per_liter,Pump_price_gasoline_US$_per_liter,Port_Quality_infrastructure_1=underdeveloped_7=well_developed,Rail_lines_total_route-km,Rail_goods_transport_million_ton-km,Rail_passengers_carried_million_passenger-km
Belgium,BEL,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,1970,YR1970,184,1366200,40800,..,..,..,..,..,..,..,..,..
Belgium,BEL,1971,YR1971,202.3999939,1402000,40700,..,..,..,..,..,..,..,..,..
Belgium,BEL,1972,YR1972,224.5,1457700,41000,..,..,..,..,..,..,..,..,..
Belgium,BEL,1973,YR1973,238.6000061,1562900,40400,..,..,..,..,..,..,..,..,..
Belgium,BEL,1974,YR1974,286.1000061,1606700,37300,..,..,..,..,..,..,..,..,..
Belgium,BEL,1975,YR1975,281.2000122,1585200,36100,..,..,..,..,..,..,..,..,..
Belgium,BEL,1976,YR1976,316.7000122,1682000,39900,..,..,..,..,..,..,..,..,..
Belgium,BEL,1977,YR1977,338.8999939,1839400,42800,..,..,..,..,..,..,..,..,..
Belgium,BEL,1978,YR1978,375.7999878,1976500,46000,..,..,..,..,..,..,..,..,..
Belgium,BEL,1979,YR1979,395.2000122,2042900,48000,..,..,..,..,..,..,..,..,..
Belgium,BEL,1980,YR1980,394.5,1974200,47800,..,..,..,..,..,..,3978,7999,6963
Belgium,BEL,1981,YR1981,441.5,2053000,43000,..,..,..,..,..,..,3954,7528,7078.1
Belgium,BEL,1982,YR1982,479.1000061,2000800,40400,..,..,..,..,..,..,3928,6788,6878.9
Belgium,BEL,1983,YR1983,489.1000061,1956600,39100,..,..,..,..,..,..,3860,6870,6631
Belgium,BEL,1984,YR1984,525.4000244,2031600,40400,..,..,..,..,..,..,3776,7905,6444.2
Belgium,BEL,1985,YR1985,565,2188400,43200,..,..,..,..,..,..,3667,8254,6572
Belgium,BEL,1986,YR1986,574.7999878,2233200,45300,..,..,..,..,..,..,3618,7423,6069
Belgium,BEL,1987,YR1987,535.5,2362100,45900,..,..,..,..,..,..,3568,7266,6270
Belgium,BEL,1988,YR1988,650.5,2604600,51200,..,..,..,..,..,..,3554,7694,6348
Belgium,BEL,1989,YR1989,660.7000122,2812100,59700,..,..,..,..,..,..,3513,8049,6400
Belgium,BEL,1990,YR1990,656.4000244,3132700,66500,..,..,..,..,..,..,3479,8354,6539
Belgium,BEL,1991,YR1991,485.7999878,3018200,70000,..,..,..,..,..,..,3466,9332,6771
Belgium,BEL,1992,YR1992,386.2999878,3146300,77100,..,..,..,..,..,..,3432,9435,6798
Belgium,BEL,1993,YR1993,478.2000122,3650600,109100,..,..,..,..,..,..,3410,8599,6694
Belgium,BEL,1994,YR1994,515.2000122,4192900,118700,..,..,..,..,..,..,3396,9285,6638
Belgium,BEL,1995,YR1995,594.5999756,5000900,141200,..,..,..,0.82,1.18,..,3368,8407,6757
Belgium,BEL,1996,YR1996,590.9000244,5173600,164700,..,..,..,..,..,..,3380,8454,6788
Belgium,BEL,1997,YR1997,677.5999756,6872100,182700,..,..,..,..,..,..,3422,8700,6981
Belgium,BEL,1998,YR1998,473,8748400,213000,..,..,..,0.85,1.12,..,3410,8764,7971
Belgium,BEL,1999,YR1999,535.4000244,9965200,233300,..,..,..,..,..,..,3472,8468,7354
