Country_Name,Country_Code,Time,Time_Code,High-technology_exports_%,High-technology_exports_US$,Non-Resident_Patent_applications,Resident_Patent_applications,R&D_expenditure_%_GDP,Researchers_in_R&D,Scientifc_and_tech_articles,Technicians_in_R&D_per_mil_people,Direct_NR_Trademark_app.,direct_R_Trademark_app,Total_Trademark_app
Brazil,BRA,1967,YR1967,..,..,5354,2824,..,..,..,..,2330,47099,49429
Brazil,BRA,1968,YR1968,..,..,5447,2763,..,..,..,..,2204,33390,35594
Brazil,BRA,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1970,YR1970,..,..,5385,3839,..,..,..,..,3101,29243,32344
Brazil,BRA,1971,YR1971,..,..,5196,3426,..,..,..,..,1921,20870,22791
Brazil,BRA,1972,YR1972,..,..,5493,2840,..,..,..,..,2775,21426,24201
Brazil,BRA,1973,YR1973,..,..,6632,2495,..,..,..,..,4994,21233,26227
Brazil,BRA,1974,YR1974,..,..,7515,3421,..,..,..,..,4748,19823,24571
Brazil,BRA,1975,YR1975,..,..,..,..,..,..,..,..,3214,26181,29395
Brazil,BRA,1976,YR1976,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1977,YR1977,..,..,7071,1645,..,..,..,..,3776,34140,37916
Brazil,BRA,1978,YR1978,..,..,..,..,..,..,..,..,3980,38004,41984
Brazil,BRA,1979,YR1979,..,..,6644,1958,..,..,..,..,3961,29066,33027
Brazil,BRA,1980,YR1980,..,..,6228,2149,..,..,..,..,4279,42432,46711
Brazil,BRA,1981,YR1981,..,..,6113,2171,..,..,1438,..,2995,29630,32625
Brazil,BRA,1982,YR1982,..,..,5562,2116,..,..,..,..,4117,27894,32011
Brazil,BRA,1983,YR1983,..,..,4900,2302,..,..,..,..,3492,24441,27933
Brazil,BRA,1984,YR1984,..,..,4657,2062,..,..,..,..,3135,28443,31578
Brazil,BRA,1985,YR1985,..,..,4565,1954,..,..,1465,..,3691,49254,52945
Brazil,BRA,1986,YR1986,..,..,4413,1855,..,..,1777,..,3971,72904,76875
Brazil,BRA,1987,YR1987,..,..,4702,2451,..,..,1766,..,5119,99485,104604
Brazil,BRA,1988,YR1988,..,..,4546,2338,..,..,1766,..,5137,76092,81229
Brazil,BRA,1989,YR1989,6.295977933,1165537040,4657,2323,..,..,2117,..,..,..,..
Brazil,BRA,1990,YR1990,6.460878493,1053130596,5148,2389,..,..,2374,..,6111,57769,63880
Brazil,BRA,1991,YR1991,5.202652818,902232511,4625,2319,..,..,2640,..,6138,50621,56759
Brazil,BRA,1992,YR1992,4.917602132,1007316541,4374,2100,..,..,3107,..,6627,41064,47691
Brazil,BRA,1993,YR1993,3.95392092,900231944,4221,2429,..,..,2885,..,7236,55257,62493
Brazil,BRA,1994,YR1994,4.595900468,1097107002,4228,2269,..,..,3073,..,8599,48742,57341
Brazil,BRA,1995,YR1995,4.888255622,1207552572,4741,2707,..,..,3436.1,..,11994,64822,76816
Brazil,BRA,1996,YR1996,6.213314209,1575297205,5446,2611,..,..,3813.4,..,12910,56481,69391
Brazil,BRA,1997,YR1997,7.536263613,2121994924,13479,2756,..,..,4497.6,..,..,..,77710
Brazil,BRA,1998,YR1998,9.410684233,2609822218,13546,2491,..,..,5234.1,..,17584,60511,78095
Brazil,BRA,1999,YR1999,13.17285467,3394695876,14693,2816,..,..,5859.3,..,17396,75882,93278
Brazil,BRA,2000,YR2000,18.72725987,5990406897,14104,3179,0.998860002,420.2542725,11609.4,336.3569946,21269,86960,108229
Brazil,BRA,2001,YR2001,19.24616073,6056632979,14410,3439,1.031659961,436.7630615,12879.5,322.9973755,16972,84643,101615
Brazil,BRA,2002,YR2002,16.52029903,5223572467,13204,3481,0.975899994,454.2115479,14674,310.9603577,13529,80782,94311
Brazil,BRA,2003,YR2003,11.95599512,4514943803,12545,3866,0.998160005,490.2211304,15874.4,358.6448364,13748,81832,95580
Brazil,BRA,2004,YR2004,11.59272243,5953916611,12669,4044,0.962960005,538.5770264,18861.9,424.2131042,13871,80169,94040
Brazil,BRA,2005,YR2005,12.84314848,8031342096,14444,4054,1.001929998,580.4883423,21420.4,460.9154663,16219,83099,99318
Brazil,BRA,2006,YR2006,12.07642327,8418095630,15886,3956,0.987919986,588.9829102,27507.1,480.004425,18197,77645,95842
Brazil,BRA,2007,YR2007,11.86594132,9076353529,17469,4194,1.082270026,603.1085815,30174.1,508.7493591,20275,83944,104219
Brazil,BRA,2008,YR2008,11.64693565,10285555636,18890,4280,1.129860044,618.8283081,34534.4,537.8814087,22342,99570,121912
Brazil,BRA,2009,YR2009,13.19727786,7896042718,18135,4271,1.120290041,656.3352661,37811.7,591.5720825,18450,94361,112811
Brazil,BRA,2010,YR2010,11.20763185,8121872800,20771,4228,1.159629941,698.1021118,40530.5,644.7474365,23524,104168,127692
Brazil,BRA,2011,YR2011,9.720194162,8414889217,23954,4695,1.140079975,..,43218.6,..,30028,122671,152699
Brazil,BRA,2012,YR2012,10.49270307,8820260626,25637,4798,1.151139975,..,47302.1,..,31181,120530,151711
Brazil,BRA,2013,YR2013,9.63455019,8391851904,25925,4959,1.236019969,..,48622.2,..,31092,132330,163422
Brazil,BRA,2014,YR2014,10.61499047,8228775226,25683,4659,..,..,..,..,29091,127925,157016
Brazil,BRA,2015,YR2015,12.30504082,8848309553,..,..,..,..,..,..,..,..,..
Brazil,BRA,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1967,YR1967,..,..,1166,41,..,..,..,..,1046,1471,2517
Colombia,COL,1968,YR1968,..,..,1066,136,..,..,..,..,1063,1770,2833
Colombia,COL,1969,YR1969,..,..,1118,151,..,..,..,..,1290,1598,2888
Colombia,COL,1970,YR1970,..,..,1041,152,..,..,..,..,1577,1335,2912
Colombia,COL,1971,YR1971,..,..,1011,1,..,..,..,..,1135,1245,2380
Colombia,COL,1972,YR1972,..,..,909,114,..,..,..,..,1203,1182,2385
Colombia,COL,1973,YR1973,..,..,709,76,..,..,..,..,1386,902,2288
Colombia,COL,1974,YR1974,..,..,619,50,..,..,..,..,1555,1074,2629
Colombia,COL,1975,YR1975,..,..,574,69,..,..,..,..,1772,1388,3160
Colombia,COL,1976,YR1976,..,..,555,67,..,..,..,..,2038,1618,3656
Colombia,COL,1977,YR1977,..,..,549,69,..,..,..,..,..,..,..
Colombia,COL,1978,YR1978,..,..,449,55,..,..,..,..,2351,2142,4493
Colombia,COL,1979,YR1979,..,..,375,45,..,..,..,..,3056,2408,5464
Colombia,COL,1980,YR1980,..,..,335,43,..,..,..,..,3537,2377,5914
Colombia,COL,1981,YR1981,..,..,604,39,..,..,..,..,2896,2439,5335
Colombia,COL,1982,YR1982,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1983,YR1983,..,..,527,82,..,..,..,..,..,..,..
Colombia,COL,1984,YR1984,..,..,471,69,..,..,..,..,2304,2768,5072
Colombia,COL,1985,YR1985,..,..,441,72,..,..,..,..,..,..,7320
Colombia,COL,1986,YR1986,..,..,404,81,..,..,90,..,1377,2468,3845
Colombia,COL,1987,YR1987,..,..,532,52,..,..,88,..,3263,5138,8401
Colombia,COL,1988,YR1988,..,..,420,85,..,..,86,..,3454,6152,9606
Colombia,COL,1989,YR1989,..,..,516,90,..,..,111,..,5225,6575,11800
Colombia,COL,1990,YR1990,..,..,..,..,..,..,122,..,3884,7543,11427
Colombia,COL,1991,YR1991,5.223920849,126543484,527,85,..,..,106,..,4058,7807,11865
Colombia,COL,1992,YR1992,6.861886741,151278799,575,120,..,..,125,..,4697,6348,11045
Colombia,COL,1993,YR1993,5.862064152,154926322,769,138,..,..,122,..,4933,8167,13100
Colombia,COL,1994,YR1994,5.710056223,161681092,867,124,..,..,145,..,5837,8147,13984
Colombia,COL,1995,YR1995,6.671060595,233001161,1093,141,..,..,162.3,..,6332,6722,13054
Colombia,COL,1996,YR1996,7.743427063,245419779,1172,87,0.299230009,70.12003326,194.7,..,6991,6683,13674
Colombia,COL,1997,YR1997,8.02107313,284163644,1497,80,0.273660004,74.16146088,234.9,..,7623,6991,14614
Colombia,COL,1998,YR1998,8.776844408,306083595,1670,161,..,..,247.7,..,6926,6419,13345
Colombia,COL,1999,YR1999,8.180491498,289147492,1615,68,..,..,240.3,..,6955,5802,12757
Colombia,COL,2000,YR2000,7.740420729,330564457,1694,75,0.106030002,99.2716217,510.2,..,9645,6965,16610
Colombia,COL,2001,YR2001,7.211090466,349136631,432,65,0.109449998,111.1505814,505.7,..,7100,7804,14904
Colombia,COL,2002,YR2002,7.17301452,322444561,858,54,0.115970001,126.8335724,649,..,7116,8180,15296
Colombia,COL,2003,YR2003,6.615023429,297321292,1127,82,0.180380002,138.3469849,654.5,..,7485,8880,16365
Colombia,COL,2004,YR2004,5.694387942,352837891,1365,76,0.154320002,110.3675079,804.9,..,6251,10679,16930
Colombia,COL,2005,YR2005,4.991174748,367212256,1662,99,0.15433,126.185318,966.4,..,8060,11877,19937
Colombia,COL,2006,YR2006,4.075887763,353802692,1861,142,0.153899997,142.6651459,1346.2,..,8400,13270,21670
Colombia,COL,2007,YR2007,2.909197078,341931813,1862,128,0.18163,161.3270874,1565.3,..,9876,14118,23994
Colombia,COL,2008,YR2008,3.723762877,441258332,1818,126,0.194509998,175.9252472,2374.4,..,9579,13885,23464
