Country_Name,Country_Code,Time,Time_Code,Internet_users_per100person,Fixed_broadband_subscriptions,Fixed_broadband_subscriptions_per100people,Fixed_telephone_subscriptions,Fixed_telephone_subscriptions_per100people,ICT_goods_exports_%_total_goods_exports,ICT_goods_imports_%_total_goods_imports,ICT_service_exports_%_of_service_exports,ICT_service_exports_current_US$,Mobile_cellular_subscriptions,Mobile_cellular_subscriptions_per_100_people,Secure_Internet_servers,Secure_Internet_servers_per_1million_people
Brazil,BRA,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1970,YR1970,..,..,..,1250000,1.301265149,..,..,..,..,0,0,..,..
Brazil,BRA,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1975,YR1975,..,..,..,2201242,2.034050062,..,..,..,..,0,0,..,..
Brazil,BRA,1976,YR1976,..,..,..,2510000,2.265173236,..,..,..,..,0,0,..,..
Brazil,BRA,1977,YR1977,..,..,..,3060000,2.697097257,..,..,..,..,0,0,..,..
Brazil,BRA,1978,YR1978,..,..,..,3720000,3.202452376,..,..,..,..,0,0,..,..
Brazil,BRA,1979,YR1979,..,..,..,4290073,3.607403157,..,..,..,..,0,0,..,..
Brazil,BRA,1980,YR1980,..,..,..,4950000,4.066027757,..,..,..,..,0,0,..,..
Brazil,BRA,1981,YR1981,..,..,..,5330000,4.2773182,..,..,..,..,0,0,..,..
Brazil,BRA,1982,YR1982,..,..,..,5822397,4.565675612,..,..,..,..,0,0,..,..
Brazil,BRA,1983,YR1983,..,..,..,6300000,4.829227071,..,..,..,..,0,0,..,..
Brazil,BRA,1984,YR1984,..,..,..,6700000,5.023834081,..,..,..,..,0,0,..,..
Brazil,BRA,1985,YR1985,..,..,..,7201516,5.286562274,..,..,..,..,0,0,..,..
Brazil,BRA,1986,YR1986,..,..,..,7451000,5.359529634,..,..,..,..,0,0,..,..
Brazil,BRA,1987,YR1987,..,..,..,7810000,5.509015154,..,..,..,..,0,0,..,..
Brazil,BRA,1988,YR1988,..,..,..,8270000,5.725060498,..,..,..,..,0,0,..,..
Brazil,BRA,1989,YR1989,..,..,..,8790000,5.976393897,..,..,..,..,0,0,..,..
Brazil,BRA,1990,YR1990,0,..,..,9409000,6.287406821,..,..,..,..,667,0.000445712,..,..
Brazil,BRA,1991,YR1991,0.003288171,..,..,10075924,6.62220811,..,..,..,..,6700,0.004403447,..,..
Brazil,BRA,1992,YR1992,0.012946262,..,..,10841000,7.012381177,..,..,..,..,32000,0.020698847,..,..
Brazil,BRA,1993,YR1993,0.025498253,..,..,11303000,7.198852672,..,..,17.82926215,708000000,182000,0.115915349,..,..
Brazil,BRA,1994,YR1994,0.037672709,..,..,12269000,7.69539995,..,..,..,..,574009,0.360031692,..,..
Brazil,BRA,1995,YR1995,0.105138168,..,..,13263000,8.192558619,..,..,21.64629177,1328000000,1285533,0.794074075,..,..
Brazil,BRA,1996,YR1996,0.450789179,..,..,15105886,9.18891864,..,..,38.08823529,1813000000,2498154,1.519628432,..,..
Brazil,BRA,1997,YR1997,0.786079155,..,..,17038823,10.20744427,..,..,42.03976079,2601000000,4550000,2.725767586,..,..
Brazil,BRA,1998,YR1998,1.477874959,1000,0.000590067,19986556,11.7934025,..,..,43.46063301,3323000000,7368218,4.347740579,..,..
Brazil,BRA,1999,YR1999,2.038732184,7000,0.004069617,24985000,14.52562551,..,..,44.38095238,2796000000,15032698,8.739617433,..,..
Brazil,BRA,2000,YR2000,2.870685159,100000,0.057304982,30926272,17.72229453,4.049211463,13.57814358,47.57599089,4013851000,23188171,13.28797717,..,..
Brazil,BRA,2001,YR2001,4.528494869,331000,0.187039248,37430779,21.1511322,3.995738154,12.23057143,53.62898918,4460383000,28745769,16.24346532,1028,5.761705415
Brazil,BRA,2002,YR2002,9.149425086,731000,0.407483497,38810685,21.63435521,3.604242293,9.781174091,47.30233504,4064785000,34880964,19.44379918,..,..
Brazil,BRA,2003,YR2003,13.2075861,966252,0.531629332,39205000,21.57048883,2.876485127,10.13315221,43.98747417,4212878000,46373266,25.51445011,1580,8.60438325
Brazil,BRA,2004,YR2004,19.07367227,3157466,1.715918235,39578903,21.50907132,2.081763521,11.08670947,41.25225228,4844713000,65605000,35.65289881,2001,10.7513384
Brazil,BRA,2005,YR2005,21.02274725,3233800,1.737272082,39852600,21.40973758,3.122688626,12.0950808,42.97028163,6435168000,86210336,46.31418452,2637,13.99093078
Brazil,BRA,2006,YR2006,28.17838018,4767007,2.533831747,38800200,20.62366985,2.880396313,12.38395554,42.66842562,7891540000,99918621,53.11025849,3044,15.9623916
Brazil,BRA,2007,YR2007,30.88,7609452,4.00503848,39399622,20.7369732,1.660689387,4.865158224,47.93762995,11483100000,120980103,63.67475185,3857,20.00679297
Brazil,BRA,2008,YR2008,33.83,10016914,5.223520654,41235247,21.50294636,1.585738352,9.191411417,49.16656197,14971477000,150641403,78.5549801,4590,23.56629442
Brazil,BRA,2009,YR2009,39.22,11729995,6.062297331,41496998,21.44648316,1.516676404,9.401674992,51.94887955,14404566000,169385584,87.54187651,5026,25.55143281
Brazil,BRA,2010,YR2010,40.65,14100890,7.223440846,42141418,21.58771823,1.006001728,9.463291886,46.69956395,14383674055,196929978,100.8810115,7941,39.98203391
Brazil,BRA,2011,YR2011,45.69,17833051,9.055291779,43025835,21.84771916,0.699902501,8.828039842,46.84266641,17381207648,234357507,119.0023853,10658,53.15244572
Brazil,BRA,2012,YR2012,48.56,19119646,9.624498717,44305294,22.3025178,0.54802564,8.815024135,49.38906535,19328796250,248323703,125.0018521,10784,53.28021544
Brazil,BRA,2013,YR2013,51.04,21360635,10.66102504,45038117,22.47838106,0.483098576,8.649172925,47.67333147,18169447349,271099799,135.3050481,11510,56.34992219
Brazil,BRA,2014,YR2014,54.55100188,23588919,11.67573652,44128188,21.84199693,0.392889229,8.788529748,57.04355261,22797650763,280728796,138.9514906,14144,68.63424044
Brazil,BRA,2015,YR2015,59.07947791,24921686,12.23707523,43677141,21.44640055,..,..,56.43332639,19061787754,257814274,126.5922645,16016,77.05648537
Brazil,BRA,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1970,YR1970,..,..,..,596000,2.792251652,..,..,..,..,0,0,..,..
Colombia,COL,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,1975,YR1975,..,..,..,837600,3.490545543,..,..,..,..,0,0,..,..
Colombia,COL,1976,YR1976,..,..,..,861200,3.506850636,..,..,..,..,0,0,..,..
Colombia,COL,1977,YR1977,..,..,..,936600,3.726331469,..,..,..,..,0,0,..,..
Colombia,COL,1978,YR1978,..,..,..,1010800,3.929200381,..,..,..,..,0,0,..,..
Colombia,COL,1979,YR1979,..,..,..,1022300,3.883198494,..,..,..,..,0,0,..,..
Colombia,COL,1980,YR1980,..,..,..,1075700,3.993749153,..,..,..,..,0,0,..,..
Colombia,COL,1981,YR1981,..,..,..,1134460,4.117796433,..,..,..,..,0,0,..,..
Colombia,COL,1982,YR1982,..,..,..,1293030,4.589526758,..,..,..,..,0,0,..,..
Colombia,COL,1983,YR1983,..,..,..,1298843,4.509358588,..,..,..,..,0,0,..,..
Colombia,COL,1984,YR1984,..,..,..,1506427,5.117281965,..,..,..,..,0,0,..,..
Colombia,COL,1985,YR1985,..,..,..,1702291,5.659865959,..,..,..,..,0,0,..,..
Colombia,COL,1986,YR1986,..,..,..,1798793,5.855802992,..,..,..,..,0,0,..,..
Colombia,COL,1987,YR1987,..,..,..,1918297,6.116534984,..,..,..,..,0,0,..,..
Colombia,COL,1988,YR1988,..,..,..,2070360,6.46805101,..,..,..,..,0,0,..,..
Colombia,COL,1989,YR1989,..,..,..,2176541,6.664793272,..,..,..,..,0,0,..,..
Colombia,COL,1990,YR1990,0,..,..,2414726,7.249918268,..,..,..,..,0,0,..,..
Colombia,COL,1991,YR1991,..,..,..,2633273,7.754662725,..,..,..,..,0,0,..,..
Colombia,COL,1992,YR1992,..,..,..,2821700,8.153276866,..,..,..,..,0,0,..,..
Colombia,COL,1993,YR1993,..,..,..,3139468,8.903651161,..,..,..,..,0,0,..,..
Colombia,COL,1994,YR1994,0.107173945,..,..,3513000,9.781310174,..,..,17.39649695,269774440,86805,0.24169275,..,..
Colombia,COL,1995,YR1995,0.18804679,..,..,3872845,10.5890964,..,..,16.25363885,272569640,274590,0.750781397,..,..
Colombia,COL,1996,YR1996,0.330017773,..,..,4645453,12.47566207,..,..,12.2055112,264649900,522857,1.404166019,..,..
Colombia,COL,1997,YR1997,0.550521023,..,..,5394757,14.23367733,..,..,11.85509738,252130140,1264763,3.336985973,..,..
Colombia,COL,1998,YR1998,1.126225245,..,..,6366944,16.50833529,..,..,9.968758842,191509050,1800229,4.667668497,..,..
Colombia,COL,1999,YR1999,1.697730794,..,..,6665422,16.98884249,..,..,9.671820743,185071000,1966535,5.012308803,..,..
Colombia,COL,2000,YR2000,2.207532993,8872,0.022236713,7192778,18.02792342,0.117399502,9.00385728,12.28990617,253223100,2256801,5.656428656,..,..
Colombia,COL,2001,YR2001,2.854199971,13830,0.03409877,7371545,18.17502645,0.161044822,9.330762585,11.23890646,247498090,3265261,8.05071461,71,1.732175892
Colombia,COL,2002,YR2002,4.6,34888,0.084646115,7766000,18.84205823,0.210076583,9.860828445,11.60822886,218192980,4596594,11.15236825,..,..
Colombia,COL,2003,YR2003,7.388923711,64436,0.153887852,7848266,18.74344775,0.230245562,10.89385173,13.21035229,255642520,6186206,14.7740697,105,2.49097632
Colombia,COL,2004,YR2004,9.118690303,127113,0.298895144,7588676,17.8441104,0.303606919,10.1260815,14.79141184,362822957,10400578,24.45605295,159,3.721547976
Colombia,COL,2005,YR2005,11.00726389,318683,0.737965006,7678804,17.78158433,0.247501393,13.03728028,16.80746674,503441929,21849993,50.59739682,191,4.412549235
