Country_Name,Country_Code,Time,Time_Code,Air_transport_freight_million_ton,Air_Passengers_carried,Air_Carrier_departures_worldwide,customs_procedure_burden_1=inefficient_7=efficient,Container_port_traffic_TEU_units,Liner_shipping_connectivity_index,Pump_price_diesel_fuel_US$_per_liter,Pump_price_gasoline_US$_per_liter,Port_Quality_infrastructure_1=underdeveloped_7=well_developed,Rail_lines_total_route-km,Rail_goods_transport_million_ton-km,Rail_passengers_carried_million_passenger-km
Bolivia,BOL,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1970,YR1970,1.5,244000,11800,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1971,YR1971,2.5,331100,11500,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1972,YR1972,2.799999952,379000,11900,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1973,YR1973,2.900000095,375700,11500,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1974,YR1974,2.400000095,475000,11400,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1975,YR1975,2.599999905,652500,14600,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1976,YR1976,4.099999905,744700,13800,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1977,YR1977,27.60000038,862300,14800,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1978,YR1978,43.09999847,1015600,16400,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1979,YR1979,33.90000153,1225500,17800,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1980,YR1980,37.59999847,1342000,18500,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1981,YR1981,43.70000076,1220300,16700,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1982,YR1982,27.60000038,1160100,15000,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1983,YR1983,17.20000076,1299000,15500,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1984,YR1984,38,1359500,14900,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1985,YR1985,41.5,1343300,15400,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1986,YR1986,27.79999924,1300700,17400,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1987,YR1987,25.5,1232600,15300,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1988,YR1988,8.300000191,1266700,15900,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1989,YR1989,8.399999619,1272600,16100,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1990,YR1990,8.399999619,1237600,15600,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1991,YR1991,5,1200000,15100,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1992,YR1992,6.800000191,1214400,14000,..,..,..,0.35,0.43,..,..,..,..
Bolivia,BOL,1993,YR1993,10.10000038,1117000,12600,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1994,YR1994,28.39999962,1175200,15300,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1995,YR1995,48.90000153,1223700,16600,..,..,..,0.31,0.38,..,..,..,..
Bolivia,BOL,1996,YR1996,46.59999847,1783500,31700,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1997,YR1997,47.09999847,2250800,34700,..,..,..,..,..,..,..,..,..
Bolivia,BOL,1998,YR1998,43,2115500,32000,..,..,..,0.35,0.53,..,..,..,..
Bolivia,BOL,1999,YR1999,19.79999924,1872600,24000,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2000,YR2000,15.341,1756608,21566,..,..,..,0.5,0.8,..,..,..,..
Bolivia,BOL,2001,YR2001,13.568,1557128,20007,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2002,YR2002,14.922,1508700,20560,..,..,..,0.42,0.69,..,..,..,..
Bolivia,BOL,2003,YR2003,24.522,1770774,28901,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2004,YR2004,24.371,1824313,25764,..,..,..,0.4,0.54,..,..,..,..
Bolivia,BOL,2005,YR2005,25.295,1892343,25644,..,..,..,..,..,..,..,1057,286
Bolivia,BOL,2006,YR2006,10.714,1443165,21978,..,..,..,0.47,0.54,..,..,..,..
Bolivia,BOL,2007,YR2007,8.718,1744663,24089,3.013513514,..,..,..,..,3.333333333,..,..,..
Bolivia,BOL,2008,YR2008,8.755,1718196,21088,2.791697704,..,..,0.53,0.68,3.218224986,2866,1060,313
Bolivia,BOL,2009,YR2009,6.871,1537032,19011,2.801362131,..,..,..,..,2.954259141,2866,..,313
Bolivia,BOL,2010,YR2010,11.23659598,1781340,37019,2.718444967,..,..,0.54,0.7,2.874489396,..,..,..
Bolivia,BOL,2011,YR2011,17.41246171,2125912.527,40751.45072,3,..,..,..,..,3.1,..,..,..
Bolivia,BOL,2012,YR2012,12.30031495,2206069.761,41974.6792,3.3,..,..,0.54,0.7,3.3,..,..,..
Bolivia,BOL,2013,YR2013,7.993202,2027888,33467,3.7,..,..,..,..,2.5,..,..,..
Bolivia,BOL,2014,YR2014,8.260212,2299800,40560,3.8,..,..,0.54,0.7,2,..,..,..
Bolivia,BOL,2015,YR2015,9.456548797,2578959.922,29717.43002,3.394410817,..,..,..,..,2.078424962,..,..,..
Bolivia,BOL,2016,YR2016,..,..,..,3.4,..,..,..,..,2.1,..,..,..
Brazil,BRA,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,1970,YR1970,164.1000061,3339800,137700,..,..,..,..,..,..,..,..,..
Brazil,BRA,1971,YR1971,180.1999969,3911000,149300,..,..,..,..,..,..,..,..,..
Brazil,BRA,1972,YR1972,254.3000031,4671400,156700,..,..,..,..,..,..,..,..,..
Brazil,BRA,1973,YR1973,316.7000122,5842400,173200,..,..,..,..,..,..,..,..,..
Brazil,BRA,1974,YR1974,407.1000061,6855500,204800,..,..,..,..,..,..,..,..,..
Brazil,BRA,1975,YR1975,460.5,7772900,209100,..,..,..,..,..,..,..,..,..
Brazil,BRA,1976,YR1976,471.6000061,8799000,206100,..,..,..,..,..,..,..,..,..
Brazil,BRA,1977,YR1977,499.2999878,9514400,194900,..,..,..,..,..,..,..,..,..
Brazil,BRA,1978,YR1978,571.2999878,10621300,193000,..,..,..,..,..,..,..,..,..
Brazil,BRA,1979,YR1979,570.5,11856900,211100,..,..,..,..,..,..,..,..,..
Brazil,BRA,1980,YR1980,588.2000122,13008100,232500,..,..,..,..,..,..,5054,40603,2407
Brazil,BRA,1981,YR1981,644.9000244,12594600,236900,..,..,..,..,..,..,5052,..,2560
Brazil,BRA,1982,YR1982,734.7000122,13168300,240200,..,..,..,..,..,..,5063,..,2373
Brazil,BRA,1983,YR1983,692.0999756,12605900,259900,..,..,..,..,..,..,5072,..,2327
Brazil,BRA,1984,YR1984,831.7000122,12948400,337100,..,..,..,..,..,..,5072,..,2572
Brazil,BRA,1985,YR1985,909.2000122,13402900,335100,..,..,..,..,..,..,5072,99881,2532
Brazil,BRA,1986,YR1986,1014.400024,17194700,367900,..,..,..,..,..,..,5035,..,2941
Brazil,BRA,1987,YR1987,1013.700012,17068600,386200,..,..,..,..,..,..,4899,..,2804
Brazil,BRA,1988,YR1988,975.7999878,17010900,401900,..,..,..,..,..,..,4994,..,2462
Brazil,BRA,1989,YR1989,1147.900024,19410800,398700,..,..,..,..,..,..,5123,..,2564
Brazil,BRA,1990,YR1990,1082,19149600,415900,..,..,..,..,..,..,4916,120432,2740
Brazil,BRA,1991,YR1991,1005.299988,19153100,457700,..,..,..,..,..,..,4915,..,2521
Brazil,BRA,1992,YR1992,1143.300049,16388500,405500,..,..,..,0.38,0.53,..,4915,..,2098.2
Brazil,BRA,1993,YR1993,1284.300049,16535600,400100,..,..,..,..,..,..,4933,124738,1108.800047
Brazil,BRA,1994,YR1994,1468.5,17898600,408300,..,..,..,..,..,..,4933,133689,1138.34396
Brazil,BRA,1995,YR1995,1581.900024,20196100,453500,..,..,..,0.39,0.63,..,4651,136437,..
Brazil,BRA,1996,YR1996,1644.800049,22011500,483600,..,..,..,..,..,..,4651,128976,..
Brazil,BRA,1997,YR1997,1789.900024,24307000,568600,..,..,..,..,..,..,4183,137200,..
Brazil,BRA,1998,YR1998,1642.800049,28091100,609900,..,..,..,0.34,0.8,..,..,141515,..
Brazil,BRA,1999,YR1999,1462.900024,28205300,692600,..,..,..,..,..,..,..,138872,..
Brazil,BRA,2000,YR2000,1727.901,31287784,628081,..,2413098,..,0.34,0.92,..,..,153863,..
Brazil,BRA,2001,YR2001,1467.445,34285574,654106,..,2323801,..,..,..,..,..,161808,..
Brazil,BRA,2002,YR2002,1539.738,35889538,627878,..,3570260,..,0.31,0.55,..,..,167731,..
Brazil,BRA,2003,YR2003,1478.37,32372040,486777,..,4230474,..,..,..,..,..,180461,..
Brazil,BRA,2004,YR2004,1499.485,35263795,486025,..,5056814,25.83,0.49,0.84,..,..,202533,..
Brazil,BRA,2005,YR2005,1530.675,37661733,514700,..,5652149,31.49,..,..,..,29314,221211,..
Brazil,BRA,2006,YR2006,1412.26,40945038,560838,..,6294286,31.61,0.84,1.26,..,29314,232300,..
Brazil,BRA,2007,YR2007,1477.828,45286990,649738,2.503816794,6464724,31.64,..,..,2.632474116,29487,257400,..
Brazil,BRA,2008,YR2008,1807.062,58763225,647753,2.486353907,7256291.688,30.87,1.03,1.26,2.518192778,29817,267700,..
Brazil,BRA,2009,YR2009,1782.3,67945578,752225,2.889136467,6590363.887,31.08,..,..,2.64862752,29817,267700,..
Brazil,BRA,2010,YR2010,1302.474648,74627064,841793,3.309182366,8138608.425,31.65,1.14,1.58,2.938443633,29817,267700,..
Brazil,BRA,2011,YR2011,1294.49545,87860363,970561,3.1,8714405.717,34.62,..,..,2.7,29817,267700,..
Brazil,BRA,2012,YR2012,1363.447091,94752568,1002565,3.1,9322769.271,38.53,1.02,1.39,2.6,29817,267700,..
Brazil,BRA,2013,YR2013,1637.382,95591641,952307,3,10176613.03,36.88,..,..,2.7,29817,267700,..
Brazil,BRA,2014,YR2014,1596.774,100403628,937437,2.7,10678564.29,42.28,1.02,1.27,2.7,29817,267700,..
Brazil,BRA,2015,YR2015,1493.939,102039359,944557,2.935775729,..,41.02,..,..,2.705457549,..,..,..
Brazil,BRA,2016,YR2016,..,..,..,2.9,..,39.93,..,..,2.7,..,..,..
Chile,CHL,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,1970,YR1970,41.09999847,574700,24900,..,..,..,..,..,..,..,..,..
Chile,CHL,1971,YR1971,46.79999924,690600,27000,..,..,..,..,..,..,..,..,..
Chile,CHL,1972,YR1972,52.70000076,730000,24800,..,..,..,..,..,..,..,..,..
Chile,CHL,1973,YR1973,46.70000076,636200,21200,..,..,..,..,..,..,..,..,..
Chile,CHL,1974,YR1974,55.20000076,505200,21500,..,..,..,..,..,..,..,..,..
Chile,CHL,1975,YR1975,57.20000076,509700,16600,..,..,..,..,..,..,..,..,..
Chile,CHL,1976,YR1976,75.69999695,489900,14300,..,..,..,..,..,..,..,..,..
Chile,CHL,1977,YR1977,105.1999969,589400,14800,..,..,..,..,..,..,..,..,..
Chile,CHL,1978,YR1978,102.0999985,552700,14100,..,..,..,..,..,..,..,..,..
Chile,CHL,1979,YR1979,85,558900,12500,..,..,..,..,..,..,..,..,..
Chile,CHL,1980,YR1980,144.8999939,668800,13700,..,..,..,..,..,..,7763,1444,1421
Chile,CHL,1981,YR1981,153.3000031,885700,18300,..,..,..,..,..,..,7763,1299,1558
Chile,CHL,1982,YR1982,141.6999969,822400,20700,..,..,..,..,..,..,7763,1327,1503
Chile,CHL,1983,YR1983,120.3000031,651900,19200,..,..,..,..,..,..,7493,1761,1572
Chile,CHL,1984,YR1984,105.4000015,730800,20100,..,..,..,..,..,..,7335,1819,1422
Chile,CHL,1985,YR1985,114.1999969,825200,25300,..,..,..,..,..,..,7227,1848.5,1519
Chile,CHL,1986,YR1986,137.1999969,875200,26300,..,..,..,..,..,..,7280,1813.9,1272
Chile,CHL,1987,YR1987,186.3999939,992400,29000,..,..,..,..,..,..,6969,1742,1136.975
Chile,CHL,1988,YR1988,242.8000031,1144100,35300,..,..,..,..,..,..,..,1712.405,1010.585
Chile,CHL,1989,YR1989,329.5,1263800,36000,..,..,..,..,..,..,..,1743.863,1055.755
Chile,CHL,1990,YR1990,418.5,1363600,40100,..,..,..,..,..,..,6916,1465.189,1075.593
Chile,CHL,1991,YR1991,428.8999939,1405900,36600,..,..,..,..,..,..,..,1369.229,1122.939
Chile,CHL,1992,YR1992,529,1905800,48200,..,..,..,0.31,0.43,..,..,1371.717,..
Chile,CHL,1993,YR1993,616.2000122,2360000,58600,..,..,..,..,..,..,..,1264.566,936
Chile,CHL,1994,YR1994,652.5,2961700,68800,..,..,..,..,..,..,..,1104.588,815
Chile,CHL,1995,YR1995,775.4000244,3197200,77800,..,..,..,0.33,0.53,..,..,967,689
Chile,CHL,1996,YR1996,806.2000122,3621900,93700,..,..,..,..,..,..,..,931,..
Chile,CHL,1997,YR1997,1071.199951,4610000,109300,..,..,..,..,..,..,..,..,..
Chile,CHL,1998,YR1998,1246.199951,5149800,119100,..,..,..,0.29,0.49,..,..,..,..
Chile,CHL,1999,YR1999,1139.400024,5187700,92500,..,..,..,..,..,..,..,..,..
Chile,CHL,2000,YR2000,1312.011,5174876,87945,..,1253131,..,0.47,0.64,..,..,3135,737
Chile,CHL,2001,YR2001,1277.282,5315623,82942,..,1080545,..,..,..,..,6623,3318,871
Chile,CHL,2002,YR2002,1098.015,4986727,78187,..,1167880,..,0.39,0.58,..,6328,3338,770
Chile,CHL,2003,YR2003,1130.19,5246787,82789,..,1250126,..,..,..,..,6330,3575,829
Chile,CHL,2004,YR2004,1094.133,5463753,86140,..,1658672,15.48,0.64,0.85,..,5992,3898,820
Chile,CHL,2005,YR2005,1053.819,5939020,93003,..,1804236,15.53,..,..,..,..,5783,..
Chile,CHL,2006,YR2006,1027.669,6016649,94770,..,2126811,16.1,0.86,1.09,..,5898,3660,843
Chile,CHL,2007,YR2007,1294.967,7190963,101008,5.45631068,2725218,17.49,..,..,4.848718566,5898,3957,732
Chile,CHL,2008,YR2008,1307.721,8021939,108565,5.631838625,3164137,17.42,0.95,0.95,4.935826148,5898,4296,759
Chile,CHL,2009,YR2009,1179.048,8097314,97473,5.817221998,2795990.202,18.84,..,..,5.359017038,5352,4032,840
Chile,CHL,2010,YR2010,1399.549392,9269026,108840,5.688757987,3171958.572,22.05,1.02,1.38,5.460815352,5352,4032,840
