Country_Name,Country_Code,Time,Time_Code,High-technology_exports_%,High-technology_exports_US$,Non-Resident_Patent_applications,Resident_Patent_applications,R&D_expenditure_%_GDP,Researchers_in_R&D,Scientifc_and_tech_articles,Technicians_in_R&D_per_mil_people,Direct_NR_Trademark_app.,direct_R_Trademark_app,Total_Trademark_app
Bermuda,BMU,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1970,YR1970,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1975,YR1975,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1976,YR1976,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1977,YR1977,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1978,YR1978,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1979,YR1979,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1980,YR1980,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1981,YR1981,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1982,YR1982,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1983,YR1983,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1984,YR1984,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1985,YR1985,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1986,YR1986,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1987,YR1987,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1988,YR1988,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1989,YR1989,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1990,YR1990,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1991,YR1991,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1992,YR1992,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1993,YR1993,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1994,YR1994,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1995,YR1995,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1996,YR1996,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1997,YR1997,..,..,..,..,0.058850002,..,..,..,..,..,..
Bermuda,BMU,1998,YR1998,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1999,YR1999,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2000,YR2000,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2001,YR2001,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2002,YR2002,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2003,YR2003,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2004,YR2004,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2005,YR2005,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2006,YR2006,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2007,YR2007,..,..,..,..,0.205259994,..,..,..,..,..,..
Bermuda,BMU,2008,YR2008,..,..,..,..,0.2095,..,..,..,..,..,..
Bermuda,BMU,2009,YR2009,..,..,..,..,0.222169995,..,..,..,..,..,..
Bermuda,BMU,2010,YR2010,..,..,..,..,0.222829998,..,..,..,..,..,..
Bermuda,BMU,2011,YR2011,..,..,..,..,0.261220008,..,..,..,..,..,..
Bermuda,BMU,2012,YR2012,7.268494834,488596,..,..,0.231150001,..,..,..,..,..,..
Bermuda,BMU,2013,YR2013,12.40823794,2627023,..,..,0.226060003,..,..,..,..,..,..
Bermuda,BMU,2014,YR2014,27.791523,2491211,..,..,0.223169997,..,..,..,..,..,..
Bermuda,BMU,2015,YR2015,26.8315905,1013119,..,..,..,..,..,..,..,..,..
Bermuda,BMU,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1967,YR1967,..,..,27963,1655,..,..,..,..,..,..,7988
Canada,CAN,1968,YR1968,..,..,27995,1591,..,..,..,..,..,..,8595
Canada,CAN,1969,YR1969,..,..,29306,1785,..,..,..,..,..,..,9351
Canada,CAN,1970,YR1970,..,..,29546,1814,..,..,..,..,..,..,10713
Canada,CAN,1971,YR1971,..,..,28524,1986,..,..,..,..,..,..,10232
Canada,CAN,1972,YR1972,..,..,27468,1970,..,..,..,..,..,..,10551
Canada,CAN,1973,YR1973,..,..,26969,1942,..,..,..,..,..,..,11442
Canada,CAN,1974,YR1974,..,..,26846,1936,..,..,..,..,..,..,11384
Canada,CAN,1975,YR1975,..,..,25237,1782,..,..,..,..,4696,6785,11481
Canada,CAN,1976,YR1976,..,..,24073,1854,..,..,..,..,5611,7590,13201
Canada,CAN,1977,YR1977,..,..,24118,1883,..,..,..,..,5681,8320,14001
Canada,CAN,1978,YR1978,..,..,23131,1838,..,..,..,..,5882,9121,15003
Canada,CAN,1979,YR1979,..,..,22516,1796,..,..,..,..,5874,8548,14422
Canada,CAN,1980,YR1980,..,..,22699,1648,..,..,..,..,6113,9106,15219
Canada,CAN,1981,YR1981,..,..,23267,2164,..,..,14440,..,6306,10556,16862
Canada,CAN,1982,YR1982,..,..,23883,2000,..,..,..,..,6630,9772,16402
Canada,CAN,1983,YR1983,..,..,23690,2017,..,..,..,..,7041,10415,17456
Canada,CAN,1984,YR1984,..,..,24709,2026,..,..,..,..,7648,12396,20044
Canada,CAN,1985,YR1985,..,..,25482,2092,..,..,16656,..,8578,12894,21472
Canada,CAN,1986,YR1986,..,..,25596,2161,..,..,20871,..,8556,12694,21250
Canada,CAN,1987,YR1987,..,..,26598,2527,..,..,20735,..,7430,11837,19267
Canada,CAN,1988,YR1988,10.79141558,7261374501,28869,2772,..,..,21391,..,9572,15262,24834
Canada,CAN,1989,YR1989,12.05035161,8343848041,32060,3031,..,..,22501,..,11103,15181,26284
Canada,CAN,1990,YR1990,13.75593582,10122181560,24375,2549,..,..,22792,..,11733,13948,25681
Canada,CAN,1991,YR1991,15.9147325,11804295892,21097,2182,..,..,22903,..,11260,12253,23513
Canada,CAN,1992,YR1992,14.89629768,11782688909,22950,2807,..,..,24180,..,11302,12573,23875
