Country_Name,Country_Code,Time,Time_Code,Internet_users_per100person,Fixed_broadband_subscriptions,Fixed_broadband_subscriptions_per100people,Fixed_telephone_subscriptions,Fixed_telephone_subscriptions_per100people,ICT_goods_exports_%_total_goods_exports,ICT_goods_imports_%_total_goods_imports,ICT_service_exports_%_of_service_exports,ICT_service_exports_current_US$,Mobile_cellular_subscriptions,Mobile_cellular_subscriptions_per_100_people,Secure_Internet_servers,Secure_Internet_servers_per_1million_people
Bermuda,BMU,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1970,YR1970,..,0,..,..,..,16034,..,..,30.97399838,..,..,0,..
Bermuda,BMU,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1974,YR1974,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,1975,YR1975,..,0,..,..,..,17500,..,..,32.24023581,..,..,0,..
Bermuda,BMU,1976,YR1976,..,0,..,..,..,17900,..,..,32.73292493,..,..,0,..
Bermuda,BMU,1977,YR1977,..,0,..,..,..,19383,..,..,35.20725106,..,..,0,..
Bermuda,BMU,1978,YR1978,..,0,..,..,..,20500,..,..,37.00427806,..,..,0,..
Bermuda,BMU,1979,YR1979,..,0,..,..,..,21500,..,..,38.57678575,..,..,0,..
Bermuda,BMU,1980,YR1980,..,0,..,..,..,22371,..,..,39.90047622,..,..,0,..
Bermuda,BMU,1981,YR1981,..,0,..,..,..,23499,..,..,41.66267752,..,..,0,..
Bermuda,BMU,1982,YR1982,..,0,..,..,..,26453,..,..,46.61978781,..,..,0,..
Bermuda,BMU,1983,YR1983,..,0,..,..,..,27480,..,..,48.13789721,..,..,0,..
Bermuda,BMU,1984,YR1984,..,0,..,..,..,28720,..,..,49.99825911,..,..,0,..
Bermuda,BMU,1985,YR1985,..,0,..,..,..,29823,..,..,51.58528359,..,..,0,..
Bermuda,BMU,1986,YR1986,..,0,..,..,..,31356,..,..,53.8744373,..,..,0,..
Bermuda,BMU,1987,YR1987,..,..,..,..,..,32818,..,..,55.99672394,..,..,..,..
Bermuda,BMU,1988,YR1988,..,..,..,..,..,34588,..,..,58.60584906,..,..,..,..
Bermuda,BMU,1989,YR1989,..,1.253828806,..,..,..,36298,..,..,61.08923222,..,..,745,..
Bermuda,BMU,1990,YR1990,0,1.859593966,..,..,..,37319,..,..,62.40844175,..,..,1112,..
Bermuda,BMU,1991,YR1991,..,2.393935364,..,..,..,38989,..,..,64.81746243,..,..,1440,..
Bermuda,BMU,1992,YR1992,..,3.200793585,..,..,..,39786,..,..,65.77829214,..,..,1936,..
Bermuda,BMU,1993,YR1993,..,5.592013289,..,..,..,42068,..,..,69.18965149,..,..,3400,..
Bermuda,BMU,1994,YR1994,..,8.390338101,..,..,..,44215,..,..,72.35786993,..,..,5127,..
Bermuda,BMU,1995,YR1995,6.838163465,10.29850017,..,..,..,46402,..,..,75.56467504,..,..,6324,..
Bermuda,BMU,1996,YR1996,16.20246602,12.9329206,..,..,..,48524,..,..,78.641233,..,..,7980,..
Bermuda,BMU,1997,YR1997,24.18925674,16.57633243,..,..,..,51853,..,..,83.64466383,..,..,10276,..
Bermuda,BMU,1998,YR1998,32.10375935,20.18755219,..,..,..,53730,..,..,86.27721755,..,..,12572,..
Bermuda,BMU,1999,YR1999,39.94758876,20.46133926,..,..,..,54933,..,..,87.8127148,..,..,12800,..
Bermuda,BMU,2000,YR2000,42.94986002,20.68844789,..,..,..,56073,..,..,89.23564142,..,..,13000,..
Bermuda,BMU,2001,YR2001,47.5096999,21.12459598,495.968258,..,..,56151,..,..,88.96476329,..,..,13333,31
Bermuda,BMU,2002,YR2002,52.03159737,47.32383702,..,..,..,56000,..,..,88.3378291,..,..,30000,..
Bermuda,BMU,2003,YR2003,56.52201218,62.83281758,979.0761942,..,..,54000,..,..,84.82430373,..,..,40000,62
Bermuda,BMU,2004,YR2004,60.99086701,76.66911799,1255.098839,..,..,53850,..,..,84.257796,..,..,49000,80
Bermuda,BMU,2005,YR2005,65.44706579,82.19904267,1699.036693,..,..,52471,18487,28.82423562,81.81081123,..,..,52720,109
Bermuda,BMU,2006,YR2006,69.89965516,93.41436498,1813.306883,39.54883157,..,57654,23643,36.74868272,89.61250913,..,629740000,60100,117
Bermuda,BMU,2007,YR2007,74.35059403,106.9568452,2065.096782,37.23845017,..,57600,28799,..,89.28571429,..,597909021.8,69000,134
Bermuda,BMU,2008,YR2008,82.3,122.1643187,2451.24324,43.15663271,..,57600,33955,52.5074613,89.07170582,..,632107416.4,79000,160
Bermuda,BMU,2009,YR2009,83.25,131.1485527,3168.992626,44.94260799,..,57700,40000,61.71696599,89.02672345,..,596270224.3,85000,208
Bermuda,BMU,2010,YR2010,84.21,135.794676,5850.377741,41.96359541,..,57800,40100,61.73884929,88.99016181,3.386009124,588069570.4,88200,381
Bermuda,BMU,2011,YR2011,88.336,..,5328.046589,40.14466277,..,..,..,..,..,3.212475892,585234397.4,..,344
Bermuda,BMU,2012,YR2012,91.29930452,139.5363101,5015.586901,40.81247251,6.628257945,69000,..,..,105.8022571,3.559688477,566777734.2,91000,325
Bermuda,BMU,2013,YR2013,95.3,144.3197992,4938.385563,41.42870333,9.597572587,72000,40100,61.3703494,110.191151,2.870912573,571034431.2,94300,321
Bermuda,BMU,2014,YR2014,96.8,90.88006599,6493.805554,41.84224784,12.58724046,29234,34731,53.05601809,44.65865172,3.346769126,577071836.1,59491,423
Bermuda,BMU,2015,YR2015,98.32360965,57.94626247,7204.721392,38.8858784,..,12000,30000,45.74704932,18.29881973,..,505636519.5,38000,470
Bermuda,BMU,2016,YR2016,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1967,YR1967,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1968,YR1968,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1969,YR1969,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1970,YR1970,..,0,..,..,..,6514000,..,..,30.39039906,..,..,0,..
Canada,CAN,1971,YR1971,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1972,YR1972,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,1973,YR1973,..,..,..,..,..,..,..,..,..,..,..,..,..
